Word,Time_s,F1_Hz,F2_Hz,F3_Hz,F4_Hz,
good,1.653058,1419.220792,2244.203324,2780.264696,4403.104867,
good,1.659308,1809.024299,2570.822569,2860.364698,4741.740200,
good,1.665558,1763.521413,2574.464673,2883.565260,4723.242540,
good,1.671808,1446.001223,2249.766216,2795.827105,4308.056330,
good,1.678058,1113.925324,1894.299541,2936.568708,4254.811788,
good,1.684308,1009.360036,1920.415318,3070.243548,4281.256513,
good,1.690558,540.874065,1910.463904,2823.962017,4162.172544,
good,1.696808,1613.986419,2754.468800, --undefined--,   --undefined--,
good,1.703058,1660.670163,2802.276491, --undefined--,   --undefined--,
good,1.709308,1082.413873,2124.454761,3045.223060,4198.005581,
pants,1.715558,1081.280231,2107.060778,3055.418733,4269.748376,
pants,1.721808,1106.827476,2131.588774,2999.815867,4164.458923,
pants,1.728058,1018.238173,2092.473178,3061.498665,4075.936657,
pants,1.734308,1062.659550,2521.847764,2759.109919,3900.726372,
pants,1.740558,1024.486395,2206.505059,3142.078120,4109.388158,
pants,1.746808,1088.332936,1622.822286,3149.180959,4232.681292,
pants,1.753058,1269.736293,1368.775440,3069.162959,4352.426755,
pants,1.759308,1228.025627,1859.194965,3076.156335,4376.152278,
pants,1.765558,1067.081046,2025.967703,3217.872890,4098.890471,
pants,1.771808,299.841405,1891.742468,3045.779158,4050.620902,
pants,1.778058,432.208148,1867.886396,3016.092842,3950.819488,
pants,1.784308,385.468378,1830.833204,3060.971998,4038.044904,
pants,1.790558,432.096392,1695.391809,2978.408149,4037.414475,
pants,1.796808,1052.647250,2135.000306,2988.253677,4018.464433,
pants,1.803058,1141.752114,2268.815718,2935.952956,3944.154852,
pants,1.809308,873.465466,2086.225515,3116.524611,4062.564008,
pants,1.815558,958.420690,2134.778792,3136.393881,4125.895784,
pants,1.821808,599.218885,2100.797110,3130.504743,4136.100545,
pants,1.828058,481.253426,2202.496290,3101.748938,4082.561473,
pants,1.834308,700.666912,2191.151831,3048.670361,4148.787019,
